"phylogenetic.vector","geographic.vector"
0,0
0.00142931,672006.325265715
0.00802449,1098033.01291584
0.00937855,1238488.99628649
0.0120803,1202004.54899202
0.01069149,1142027.23489624
0.00792562,947078.429093078
0.01253205,0
0.0094873,0
0.01097397,403203.795159429
0.02515316,0
0.02362423,0
0.02543809,0
0.03168441,0
0.03510754,0
0.01661652,0
0.02007841,1098033.01291584
0.01505519,1098033.01291584
0.02655729,1202004.54899202
0.04304379,1000298.75245393
0.00142931,672006.325265715
0,0
0.0066305,443283.463724649
0.00798456,566583.316167198
0.01068631,534508.366780553
0.0092975,497553.683065041
0.00653163,299782.601851829
0.01113806,672006.325265715
0.00809331,672006.325265715
0.00957998,268802.530106286
0.02375917,672006.325265715
0.02223024,672006.325265715
0.0240441,672006.325265715
0.03029042,672006.325265715
0.03371355,672006.325265715
0.01522253,672006.325265715
0.01868442,443283.463724649
0.0136612,443283.463724649
0.0251633,534508.366780553
0.0416498,353087.92836557
0.00802449,1098033.01291584
0.0066305,443283.463724649
0,0
0.00830068,207152.077728746
0.01100243,128277.94850449
0.00961362,65889.2526873763
0.00684775,151111.873795675
0.01145418,1098033.01291584
0.00840943,1098033.01291584
0.0098961,705183.283401126
0.02407529,1098033.01291584
0.02254636,1098033.01291584
0.02436022,1098033.01291584
0.03060654,1098033.01291584
0.03402967,1098033.01291584
0.01553865,1098033.01291584
0.01900054,0
0.01397732,0
0.02547942,128277.94850449
0.04196592,99150.0337989984
0.00937855,1238488.99628649
0.00798456,566583.316167198
0.00830068,207152.077728746
0,0
0.00617427,87534.0717582262
0.00478546,228519.727970731
0.00505631,327211.043009916
0.00966274,1238488.99628649
0.00661799,1238488.99628649
0.00810466,835345.588214915
0.02228385,1238488.99628649
0.02075492,1238488.99628649
0.02256878,1238488.99628649
0.0288151,1238488.99628649
0.03223823,1238488.99628649
0.01374721,1238488.99628649
0.0172091,207152.077728746
0.01218588,207152.077728746
0.02368798,87534.0717582262
0.04017448,288669.019269425
0.0120803,1202004.54899202
0.01068631,534508.366780553
0.01100243,128277.94850449
0.00617427,87534.0717582262
0,0
0.00143325,141226.559481406
0.00775806,266311.435496284
0.01236449,1202004.54899202
0.00931974,1202004.54899202
0.01080641,801506.83966514
0.0249856,1202004.54899202
0.02345667,1202004.54899202
0.02527053,1202004.54899202
0.03151685,1202004.54899202
0.03493998,1202004.54899202
0.01644896,1202004.54899202
0.01991085,128277.94850449
0.01488763,128277.94850449
0.02638973,0
0.04287623,220547.556495231
0.01069149,1142027.23489624
0.0092975,497553.683065041
0.00961362,65889.2526873763
0.00478546,228519.727970731
0.00143325,141226.559481406
0,0
0.00636925,198725.514916841
0.01097568,1142027.23489624
0.00793093,1142027.23489624
0.0094176,755343.103797522
0.02359679,1142027.23489624
0.02206786,1142027.23489624
0.02388172,1142027.23489624
0.03012804,1142027.23489624
0.03355117,1142027.23489624
0.01506015,1142027.23489624
0.01852204,65889.2526873763
0.01349882,65889.2526873763
0.02500092,141226.559481406
0.04148742,144830.882748005
0.00792562,947078.429093078
0.00653163,299782.601851829
0.00684775,151111.873795675
0.00505631,327211.043009916
0.00775806,266311.435496284
0.00636925,198725.514916841
0,0
0.00467489,947078.429093078
0.00163014,947078.429093078
0.00311681,558700.932748328
0.01733132,947078.429093078
0.01580239,947078.429093078
0.01761625,947078.429093078
0.02386257,947078.429093078
0.0272857,947078.429093078
0.00879468,947078.429093078
0.01225657,151111.873795675
0.00723335,151111.873795675
0.01873545,266311.435496284
0.03522195,53964.9498867959
0.01253205,0
0.01113806,672006.325265715
0.01145418,1098033.01291584
0.00966274,1238488.99628649
0.01236449,1202004.54899202
0.01097568,1142027.23489624
0.00467489,947078.429093078
0,0
0.00314337,0
0.00463004,403203.795159429
0.02193775,0
0.02040882,0
0.02222268,0
0.028469,0
0.03189213,0
0.01340111,0
0.016863,1098033.01291584
0.01183978,1098033.01291584
0.02334188,1202004.54899202
0.03982838,1000298.75245393
0.0094873,0
0.00809331,672006.325265715
0.00840943,1098033.01291584
0.00661799,1238488.99628649
0.00931974,1202004.54899202
0.00793093,1142027.23489624
0.00163014,947078.429093078
0.00314337,0
0,0
0.00154997,403203.795159429
0.018893,0
0.01736407,0
0.01917793,0
0.02542425,0
0.02884738,0
0.01035636,0
0.01381825,1098033.01291584
0.00879503,1098033.01291584
0.02029713,1202004.54899202
0.03678363,1000298.75245393
0.01097397,403203.795159429
0.00957998,268802.530106286
0.0098961,705183.283401126
0.00810466,835345.588214915
0.01080641,801506.83966514
0.0094176,755343.103797522
0.00311681,558700.932748328
0.00463004,403203.795159429
0.00154997,403203.795159429
0,322563.036127543
0.02037967,403203.795159429
0.01885074,403203.795159429
0.0206646,403203.795159429
0.02691092,403203.795159429
0.03033405,403203.795159429
0.01184303,403203.795159429
0.01530492,705183.283401126
0.0102817,705183.283401126
0.0217838,801506.83966514
0.0382703,611972.258000912
0.02515316,0
0.02375917,672006.325265715
0.02407529,1098033.01291584
0.02228385,1238488.99628649
0.0249856,1202004.54899202
0.02359679,1142027.23489624
0.01733132,947078.429093078
0.02193775,0
0.018893,0
0.02037967,403203.795159429
0,0
0.00159625,0
0.00477779,0
0.01102411,0
0.01444724,0
0.02595632,0
0.02941821,1098033.01291584
0.02439499,1098033.01291584
0.03589709,1202004.54899202
0.05238359,1000298.75245393
0.02362423,0
0.02223024,672006.325265715
0.02254636,1098033.01291584
0.02075492,1238488.99628649
0.02345667,1202004.54899202
0.02206786,1142027.23489624
0.01580239,947078.429093078
0.02040882,0
0.01736407,0
0.01885074,403203.795159429
0.00159625,0
0,0
0.00324886,0
0.00949518,0
0.01291831,0
0.02442739,0
0.02788928,1098033.01291584
0.02286606,1098033.01291584
0.03436816,1202004.54899202
0.05085466,1000298.75245393
0.02543809,0
0.0240441,672006.325265715
0.02436022,1098033.01291584
0.02256878,1238488.99628649
0.02527053,1202004.54899202
0.02388172,1142027.23489624
0.01761625,947078.429093078
0.02222268,0
0.01917793,0
0.0206646,403203.795159429
0.00477779,0
0.00324886,0
0,0
0.00631158,0
0.00973471,0
0.02624125,0
0.02970314,1098033.01291584
0.02467992,1098033.01291584
0.03618202,1202004.54899202
0.05266852,1000298.75245393
0.03168441,0
0.03029042,672006.325265715
0.03060654,1098033.01291584
0.0288151,1238488.99628649
0.03151685,1202004.54899202
0.03012804,1142027.23489624
0.02386257,947078.429093078
0.028469,0
0.02542425,0
0.02691092,403203.795159429
0.01102411,0
0.00949518,0
0.00631158,0
0,0
0.00673623,0
0.03248757,0
0.03594946,1098033.01291584
0.03092624,1098033.01291584
0.04242834,1202004.54899202
0.05891484,1000298.75245393
0.03510754,0
0.03371355,672006.325265715
0.03402967,1098033.01291584
0.03223823,1238488.99628649
0.03493998,1202004.54899202
0.03355117,1142027.23489624
0.0272857,947078.429093078
0.03189213,0
0.02884738,0
0.03033405,403203.795159429
0.01444724,0
0.01291831,0
0.00973471,0
0.00673623,0
0,0
0.0359107,0
0.03937259,1098033.01291584
0.03434937,1098033.01291584
0.04585147,1202004.54899202
0.06233797,1000298.75245393
0.01661652,0
0.01522253,672006.325265715
0.01553865,1098033.01291584
0.01374721,1238488.99628649
0.01644896,1202004.54899202
0.01506015,1142027.23489624
0.00879468,947078.429093078
0.01340111,0
0.01035636,0
0.01184303,403203.795159429
0.02595632,0
0.02442739,0
0.02624125,0
0.03248757,0
0.0359107,0
0,0
0.01364413,1098033.01291584
0.00862091,1098033.01291584
0.02012301,1202004.54899202
0.03660951,1000298.75245393
0.02007841,1098033.01291584
0.01868442,443283.463724649
0.01900054,0
0.0172091,207152.077728746
0.01991085,128277.94850449
0.01852204,65889.2526873763
0.01225657,151111.873795675
0.016863,1098033.01291584
0.01381825,1098033.01291584
0.01530492,705183.283401126
0.02941821,1098033.01291584
0.02788928,1098033.01291584
0.02970314,1098033.01291584
0.03594946,1098033.01291584
0.03937259,1098033.01291584
0.01364413,1098033.01291584
0,0
0.00890438,0
0.02354958,128277.94850449
0.04003608,99150.0337989984
0.01505519,1098033.01291584
0.0136612,443283.463724649
0.01397732,0
0.01218588,207152.077728746
0.01488763,128277.94850449
0.01349882,65889.2526873763
0.00723335,151111.873795675
0.01183978,1098033.01291584
0.00879503,1098033.01291584
0.0102817,705183.283401126
0.02439499,1098033.01291584
0.02286606,1098033.01291584
0.02467992,1098033.01291584
0.03092624,1098033.01291584
0.03434937,1098033.01291584
0.00862091,1098033.01291584
0.00890438,0
0,0
0.01852636,128277.94850449
0.03501286,99150.0337989984
0.02655729,1202004.54899202
0.0251633,534508.366780553
0.02547942,128277.94850449
0.02368798,87534.0717582262
0.02638973,0
0.02500092,141226.559481406
0.01873545,266311.435496284
0.02334188,1202004.54899202
0.02029713,1202004.54899202
0.0217838,801506.83966514
0.03589709,1202004.54899202
0.03436816,1202004.54899202
0.03618202,1202004.54899202
0.04242834,1202004.54899202
0.04585147,1202004.54899202
0.02012301,1202004.54899202
0.02354958,128277.94850449
0.01852636,128277.94850449
0,0
0.04647964,220547.556495231
0.04304379,1000298.75245393
0.0416498,353087.92836557
0.04196592,99150.0337989984
0.04017448,288669.019269425
0.04287623,220547.556495231
0.04148742,144830.882748005
0.03522195,53964.9498867959
0.03982838,1000298.75245393
0.03678363,1000298.75245393
0.0382703,611972.258000912
0.05238359,1000298.75245393
0.05085466,1000298.75245393
0.05266852,1000298.75245393
0.05891484,1000298.75245393
0.06233797,1000298.75245393
0.03660951,1000298.75245393
0.04003608,99150.0337989984
0.03501286,99150.0337989984
0.04647964,220547.556495231
0,0
